product_id,version,image_path,thisN,thisTrialN,thisRepN,ratingSlider.response,ratingSlider.rt,ratingMouse.x,ratingMouse.y,ratingMouse.leftButton,ratingMouse.midButton,ratingMouse.rightButton,ratingMouse.time,memoryKey.keys,memoryKey.rt,memoryKey.duration,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,thisRow.t,notes,Welcome.started,text_welcome.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions.started,text_instructions.started,key_resp_instructions.started,instructions.stopped,key_resp_instructions.keys,key_resp_instructions.rt,key_resp_instructions.duration,setOrder.started,setOrder.stopped,fixation.started,text_fixation.started,fixation.stopped,ratingTrial.started,productImage.started,questionText.started,ratingValueText.started,ratingSlider.started,sliderCover.started,ratingMouse.started,leftAnchor.started,rightAnchor.started,warningText.started,ratingTrial.stopped,liking,liking_initMouse,liking_RT,taste,taste_initMouse,taste_RT,health,health_initMouse,health_RT,main_loop.ratingSlider.response,main_loop.ratingSlider.rt,main_loop.ratingMouse.x,main_loop.ratingMouse.y,main_loop.ratingMouse.leftButton,main_loop.ratingMouse.midButton,main_loop.ratingMouse.rightButton,main_loop.ratingMouse.time,memory_count_now,memory_target_now,memoryTrial.started,memoryTrial.stopped,memory_correct_product,memory_chosen,memory_accuracy,memory_RT,main_loop.memoryKey.keys,text_fixation.stopped,memoryQuestion.started,opt1Text.started,opt2Text.started,opt3Text.started,memoryKey.started,main_loop.memoryKey.rt,main_loop.memoryKey.duration,thanks.started,endText.started,endKey.started,thanks.stopped,endKey.keys,endKey.rt,endKey.duration,participant_ID,age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.022397708000426064,0.24783550000029209,0.24783550000029209,0.6312085830004435,space,0.37118412499967235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tt,k,2026-03-16_12h30.34.921,products_online,,2025.1.1,120.23825113377137,2026-03-16 12h30.44.195487 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6313069170000745,0.6433860830002232,0.6433860830002232,1.2146807079998325,space,0.5686757499997839,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tt,k,2026-03-16_12h30.34.921,products_online,,2025.1.1,120.23825113377137,2026-03-16 12h30.44.195487 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2449989169999753,1.2450205420000202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tt,k,2026-03-16_12h30.34.921,products_online,,2025.1.1,120.23825113377137,2026-03-16 12h30.44.195487 +0200,
WaffleCrisp,original,taste&health/WaffleCrisp_original.png,0,0,0,None,None,"[np.float64(0.09), np.float64(-0.04)]","[np.float64(-0.33), np.float64(-0.5)]","[1, 1]","[0, 0]","[0, 0]","[9.718769000000066, 11.065467000000353]",None,,,0,0,0,0,1.2604257080001844,,,,,,,,,,,,,,,,,,1.250191041999642,1.2604257080001844,1.7468725420003466,1.8174236249997193,1.865488749999713,1.865488749999713,1.865488749999713,12.10385716699966,1.865488749999713,0.07243591699989338,1.865488749999713,1.865488749999713,1.865488749999713,12.884836500000347,None,4.9,None,4.4,4.4,0.20520624999971915,3.1,3.8,0.8067653329999303,None,None,"[np.float64(0.09), np.float64(-0.04)]","[np.float64(-0.33), np.float64(-0.5)]","[1, 1]","[0, 0]","[0, 0]","[9.718769000000066, 11.065467000000353]",,,12.885055583000394,12.885097250000399,,,,,None,,,,,,,,,,,,,,,,tt,k,2026-03-16_12h30.34.921,products_online,,2025.1.1,120.23825113377137,2026-03-16 12h30.44.195487 +0200,
CocaColaZero,taste,taste&health/CocaColaZero_taste.png,1,1,0,None,None,"[np.float64(0.33666666666666667), np.float64(-0.19444444444444445), np.float64(0.14777777777777779)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.4057697919997736, 1.040212292000433, 1.7522600829997828]",None,,,0,1,1,1,12.897608375000345,,,,,,,,,,,,,,,,,,12.885247457999867,12.897608375000345,13.380754750000051,13.43343058299979,13.456611374999738,13.456611374999738,13.456611374999738,15.098553458000424,13.456611374999738,0.04833287499968719,13.456611374999738,13.456611374999738,13.456611374999738,15.187192000000323,1.6,1.6,0.10000058300011005,1.6,4.9,0.1139975410005718,6.8,6.8,0.45156375000078697,None,None,"[np.float64(0.33666666666666667), np.float64(-0.19444444444444445), np.float64(0.14777777777777779)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.4057697919997736, 1.040212292000433, 1.7522600829997828]",1,2,15.187377207999816,15.187412750000476,,,,,None,13.456611374999738,,,,,,,,,,,,,,,tt,k,2026-03-16_12h30.34.921,products_online,,2025.1.1,120.23825113377137,2026-03-16 12h30.44.195487 +0200,
Nutella,taste,taste&health/Nutella_taste.png,2,2,0,None,None,"[np.float64(0.21555555555555556), np.float64(0.21555555555555556), np.float64(0.21555555555555556), np.float64(-0.03777777777777778), np.float64(-0.03777777777777778), np.float64(0.18666666666666668)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.07900245800010453, 0.31196204099978786, 0.541854166000121, 0.8413793330000772, 1.1145558749994962, 1.3965527499995005]",None,,,0,2,2,2,15.196951582999645,,,,,,,,,,,,,,,,,,15.1875385000003,15.196951582999645,15.680825708000157,15.742523582999638,15.766930957999648,15.766930957999648,15.766930957999648,17.139631707999797,15.766930957999648,0.05513070900087769,15.766930957999648,15.766930957999648,15.766930957999648,17.141289000000143,3.1,3.1,0.2328680410000743,5.3,5.3,0.026437999999870954,5.6,5.6,0.1262125000002925,None,None,"[np.float64(0.21555555555555556), np.float64(0.21555555555555556), np.float64(0.21555555555555556), np.float64(-0.03777777777777778), np.float64(-0.03777777777777778), np.float64(0.18666666666666668)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.07900245800010453, 0.31196204099978786, 0.541854166000121, 0.8413793330000772, 1.1145558749994962, 1.3965527499995005]",1,3,17.14153158299996,17.141567499999837,,,,,None,15.766930957999648,,,,,,,,,,,,,,,tt,k,2026-03-16_12h30.34.921,products_online,,2025.1.1,120.23825113377137,2026-03-16 12h30.44.195487 +0200,
Tapuchips,original,taste&health/Tapuchips_original.png,3,3,0,4.3,0.03505645800032653,"[np.float64(-0.24222222222222223), np.float64(0.17222222222222222), np.float64(0.17222222222222222), np.float64(0.07777777777777778)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33111111111111113), np.float64(-0.33111111111111113)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.2798517500004891, 0.9211416660000395, 1.376065541000571, 1.8397447080005804]",None,,,0,3,3,3,17.147282625000116,,,,,,,,,,,,,,,,,,17.141694666999683,17.147282625000116,17.631382874999872,17.693725375000213,17.719157417000133,17.719157417000133,17.719157417000133,19.187133166999956,17.719157417000133,0.052175582999552717,17.719157417000133,17.719157417000133,17.719157417000133,19.536864167000203,4.3,4.3,0.37618183300037344,5.2,5.2,0.11183625000012398,1.1,1.2,0.3276203750001514,4.3,0.03505645800032653,"[np.float64(-0.24222222222222223), np.float64(0.17222222222222222), np.float64(0.17222222222222222), np.float64(0.07777777777777778)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33111111111111113), np.float64(-0.33111111111111113)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.2798517500004891, 0.9211416660000395, 1.376065541000571, 1.8397447080005804]",1,3,19.53706074999991,19.537105542000063,,,,,None,17.719157417000133,,,,,,,,,,,,,,,tt,k,2026-03-16_12h30.34.921,products_online,,2025.1.1,120.23825113377137,2026-03-16 12h30.44.195487 +0200,
Nutella,original,taste&health/Nutella_original.png,4,4,0,None,None,"[np.float64(0.08777777777777777), np.float64(0.08777777777777777), np.float64(0.29555555555555557), np.float64(0.29555555555555557), np.float64(0.3411111111111111)]","[np.float64(-0.33111111111111113), np.float64(-0.3322222222222222), np.float64(-0.33111111111111113), np.float64(-0.33111111111111113), np.float64(-0.33)]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.2854924169996593, 0.6353572500001974, 1.115983624999899, 1.4486045840003499, 1.9652696670000296]",None,,,0,4,4,4,19.5471666250005,,,,,,,,,,,,,,,,,,19.537239166999825,19.5471666250005,20.030969250000453,20.091808041999684,20.116425917000015,20.116425917000015,20.116425917000015,21.764546207999956,20.116425917000015,0.05471895799928461,20.116425917000015,20.116425917000015,20.116425917000015,22.05920341700039,6.4,6.4,0.3052039579997654,6.8,6.8,0.31964295899979334,4.4,4.4,0.33164183299959404,None,None,"[np.float64(0.08777777777777777), np.float64(0.08777777777777777), np.float64(0.29555555555555557), np.float64(0.29555555555555557), np.float64(0.3411111111111111)]","[np.float64(-0.33111111111111113), np.float64(-0.3322222222222222), np.float64(-0.33111111111111113), np.float64(-0.33111111111111113), np.float64(-0.33)]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.2854924169996593, 0.6353572500001974, 1.115983624999899, 1.4486045840003499, 1.9652696670000296]",2,3,22.05941937500029,22.059455833000357,,,,,None,20.116425917000015,,,,,,,,,,,,,,,tt,k,2026-03-16_12h30.34.921,products_online,,2025.1.1,120.23825113377137,2026-03-16 12h30.44.195487 +0200,
TimTam,original,taste&health/TimTam_original.png,5,5,0,None,None,"[np.float64(-0.19444444444444445), np.float64(-0.19444444444444445), np.float64(-0.19444444444444445), np.float64(-0.06), np.float64(0.044444444444444446)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.22559737500068877, 0.4782426250003482, 0.7536903750005877, 1.0787943330005874, 1.4358831250001458]",None,,,0,5,5,5,22.065057792000516,,,,,,,,,,,,,,,,,,22.059583332999864,22.065057792000516,22.547694707999653,22.590002916999765,22.613764042000184,22.613764042000184,22.613764042000184,23.934767374999865,22.613764042000184,0.030568125000172586,22.613764042000184,22.613764042000184,22.613764042000184,24.02752720799981,1.6,2.9,0.03048099999978149,1.6,1.6,0.2609503749999931,3.9,3.9,0.11729437499980122,None,None,"[np.float64(-0.19444444444444445), np.float64(-0.19444444444444445), np.float64(-0.19444444444444445), np.float64(-0.06), np.float64(0.044444444444444446)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.22559737500068877, 0.4782426250003482, 0.7536903750005877, 1.0787943330005874, 1.4358831250001458]",,,24.02776545800043,24.0277998749998,,,,,None,22.613764042000184,,,,,,,,,,,,,,,tt,k,2026-03-16_12h30.34.921,products_online,,2025.1.1,120.23825113377137,2026-03-16 12h30.44.195487 +0200,
WaffleCrisp,health,taste&health/WaffleCrisp_health.png,6,6,0,None,None,"[np.float64(-0.02666666666666667), np.float64(-0.02666666666666667), np.float64(-0.22555555555555556), np.float64(-0.22555555555555556), np.float64(-0.12333333333333334)]","[np.float64(-0.33111111111111113), np.float64(-0.33111111111111113), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.3214533329992264, 0.7177241249992221, 1.0856863330000124, 1.4223969169997872, 1.7551613749992612]",None,,,0,6,6,6,24.03535662500053,,,,,,,,,,,,,,,,,,24.027926833000492,24.03535662500053,24.520729208000375,24.573452917000395,24.598843583000416,24.598843583000416,24.598843583000416,26.219618416999765,24.598843583000416,0.04567070800021611,24.598843583000416,24.598843583000416,24.598843583000416,26.330953749999935,2.3,2.3,0.1360835830000724,3.2,3.2,0.3590292500002761,1.3,1.3,0.23521350000009988,None,None,"[np.float64(-0.02666666666666667), np.float64(-0.02666666666666667), np.float64(-0.22555555555555556), np.float64(-0.22555555555555556), np.float64(-0.12333333333333334)]","[np.float64(-0.33111111111111113), np.float64(-0.33111111111111113), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.3214533329992264, 0.7177241249992221, 1.0856863330000124, 1.4223969169997872, 1.7551613749992612]",,,26.331174083000406,26.331208667000283,,,,,None,24.598843583000416,,,,,,,,,,,,,,,tt,k,2026-03-16_12h30.34.921,products_online,,2025.1.1,120.23825113377137,2026-03-16 12h30.44.195487 +0200,
