product_id,version,image_path
Allin,original,taste&health/Allin_original.png
Allin,taste,taste&health/Allin_taste.png
Allin,health,taste&health/Allin_health.png
Cheetos,original,taste&health/Cheetos_original.png
Cheetos,taste,taste&health/Cheetos_taste.png
Cheetos,health,taste&health/Cheetos_health.png
ChocolatePara,original,taste&health/ChocolatePara_original.png
ChocolatePara,taste,taste&health/ChocolatePara_taste.png
ChocolatePara,health,taste&health/ChocolatePara_health.png
CocaColaZero,original,taste&health/CocaColaZero_original.png
CocaColaZero,taste,taste&health/CocaColaZero_taste.png
CocaColaZero,health,taste&health/CocaColaZero_health.png
Cornflakes,original,taste&health/Cornflakes_original.png
Cornflakes,taste,taste&health/Cornflakes_taste.png
Cornflakes,health,taste&health/Cornflakes_health.png
MangoFree,original,taste&health/MangoFree_original.png
MangoFree,taste,taste&health/MangoFree_taste.png
MangoFree,health,taste&health/MangoFree_health.png
Nutella,original,taste&health/Nutella_original.png
Nutella,taste,taste&health/Nutella_taste.png
Nutella,health,taste&health/Nutella_health.png
Slimdelis,original,taste&health/Slimdelis_original.png
Slimdelis,taste,taste&health/Slimdelis_taste.png
Slimdelis,health,taste&health/Slimdelis_health.png
Tamar,original,taste&health/Tamar_original.png
Tamar,taste,taste&health/Tamar_taste.png
Tamar,health,taste&health/Tamar_health.png
Tapuchips,original,taste&health/Tapuchips_original.png
Tapuchips,taste,taste&health/Tapuchips_taste.png
Tapuchips,health,taste&health/Tapuchips_health.png
TimTam,original,taste&health/TimTam_original.png
TimTam,taste,taste&health/TimTam_taste.png
TimTam,health,taste&health/TimTam_health.png
WaffleCrisp,original,taste&health/WaffleCrisp_original.png
WaffleCrisp,taste,taste&health/WaffleCrisp_taste.png
WaffleCrisp,health,taste&health/WaffleCrisp_health.png
XL,original,taste&health/XL_original.png
XL,taste,taste&health/XL_taste.png
XL,health,taste&health/XL_health.png
